Restro Link,Image Link,Offer,Name,Food Type,Address
https://www.swiggy.com/restaurants/cakes-new-dwarkapuri-sudama-nagar-indore-740752,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/e1114ef2ed8df79fdf4acaee0ec0b040",,Cakes,Bakery,Sudama Nagar
https://www.swiggy.com/restaurants/chick-blast-rau-and-rajendra-nagar-indore-423883,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ghrnqyvbwxz7wkuo5lty",,Chick Blast,"American, Pizzas, Pastas, Chinese, Beverages",Rajendra Nagar
https://www.swiggy.com/restaurants/the-cake-zone-room-ram-nagar-nehru-nagar-indore-621504,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/e8snjpxjqrgbij0nk71x",₹125 OFF ABOVE ₹249,The Cake Zone,"Desserts, Bakery",NEHRU NAGAR
https://www.swiggy.com/restaurants/the-belgian-waffle-co-sapna-sangeeta-khatiwala-tank-indore-630711,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/8cb220fa3997a3b928d2ffb6c098acaf",20% OFF UPTO ₹50,The Belgian Waffle Co.,"Waffle, Desserts, Ice Cream",Khatiwala Tank
https://www.swiggy.com/restaurants/love-over-coffee-vijay-nagar-indore-764666,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/1d25ffc8583f719421b6d9e0b242a02d",,Love Over Coffee,"Beverages, Snacks",Vijay Nagar
https://www.swiggy.com/restaurants/biryani-on-wheels-new-palasia-tirumala-indore-734437,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/1a30d234f480208cc0d7d751a9882f97",₹125 OFF ABOVE ₹199,Biryani On Wheels,"Biryani, Kebabs, Desserts",Tirumala
https://www.swiggy.com/restaurants/sheetal-restaurant-hig-lig-patnipura-indore-120254,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/sf3jeoki3cmkpwmfgi6x",,Sheetal Restaurant,"North Indian, Chinese",Patnipura
https://www.swiggy.com/restaurants/mocha-vishram-colony-new-palasia-indore-71814,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/fd29061ac2e213aa223312ab50baefca",,Mocha,"North Indian, Chinese",New Palasia
https://www.swiggy.com/restaurants/cream-centre-rasoma-square-vijay-nagar-indore-474784,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/575dec3b378cf77fa21b1480527a650b",,Cream Centre,"Italian, Indian, Beverages",Vijay Nagar
https://www.swiggy.com/restaurants/sams-momos-chappan-dukan-new-palasia-indore-62185,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/wrwrngygzztx6lh1wpfn",₹125 OFF ABOVE ₹249,Sam's Momos,"Chinese, Snacks, Pastas",New Palasia
https://www.swiggy.com/restaurants/parag-bakery-and-fast-food-sudama-nagar-indore-73151,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/tvf99sjz7e5gha1txypx",FREE ITEM,Parag Bakery & Fast Food,"Bakery, Snacks",Sudama Nagar
https://www.swiggy.com/restaurants/sagar-gaire-chappan-dukan-new-palasia-indore-64532,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/irki7zudjxrbbmtcvpgy",₹125 OFF ABOVE ₹249,Sagar Gaire,"Punjabi, Chinese, Italian, Thalis",New Palasia
https://www.swiggy.com/restaurants/starbucks-coffee-race-course-road-new-palasia-indore-403809,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/4df3497f1460dfd1ecd8125222f6d362",10% OFF ABOVE ₹700,Starbucks Coffee,"Beverages, Cafe, Snacks, Desserts, Bakery, Ice Cream",New Palasia
https://www.swiggy.com/restaurants/crazy-coffee-grinar-tower-new-palasia-indore-752399,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/5b17fc2fe703cfaa5478f2994fdf2e1d",,Crazy Coffee,"Beverages, Fast Food, Snacks, Pizzas",New Palasia
https://www.swiggy.com/restaurants/tandoor-bhawar-kuan-professor-colony-indore-67068,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/r0qygqgl8xjlfyfhlkim",,Tandoor,"Indian, Chinese, Snacks",Professor Colony
https://www.swiggy.com/restaurants/new-sheetal-restaurant-jai-maa-stationery-sudama-nagar-indore-676539,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/f34657e4f398eec0e714971b58f8be69",,New Sheetal Restaurant,North Indian,Sudama Nagar
https://www.swiggy.com/restaurants/lucky-bakers-sector-d-sudama-nagar-indore-73645,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/x5urodolndmvnbfzmq4j",,Lucky Bakers,"Pizzas, Bakery",Sudama Nagar
https://www.swiggy.com/restaurants/uncle-peters-pancakes-vijay-nagar-indore-453701,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/mxkz5xqffku1zpal9jxx",20% OFF UPTO ₹50,Uncle Peter's Pancakes,"Continental, Desserts, American",Vijay Nagar
https://www.swiggy.com/restaurants/green-chilly-professor-colony-bhawar-kuan-indore-729395,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/743e1e014c4f0282b8294f2b2de832c3",50% OFF UPTO ₹100,Green Chilly,"Indian, Thalis, Snacks, Biryani, Chinese",Bhawar Kuan
https://www.swiggy.com/restaurants/dosa-corner-kalani-nagar-square-anjani-nagar-indore-129407,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/rjtw8xdjm1iz0jwtf0hv",,Dosa Corner,South Indian,Anjani Nagar
https://www.swiggy.com/restaurants/zaika-restaurant-kanadia-rd-old-palasia-indore-670392,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/3fdf3d7e951ea446d5ffa2e098f39d10",40% OFF UPTO ₹200,Zaika Restaurant,"North Indian, Chinese",Old Palasia
https://www.swiggy.com/restaurants/kake-di-hatti-new-palasia-indore-397555,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/fea88ceda59e9e75301589cc0f0d2c2e",₹100 OFF ABOVE ₹349,Kake Di Hatti,"North Indian, Indian, Thalis, Biryani, Punjabi, Rajasthani, Chaat",New Palasia
https://www.swiggy.com/restaurants/theka-coffee-diamond-trade-center-new-palasia-indore-606985,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/4a6e943fc175d4e6164537b6f7c4523b",20% OFF UPTO ₹120,Theka Coffee,Beverages,New Palasia
https://www.swiggy.com/restaurants/paratha-junction-srinagar-extension-old-palasia-indore-591870,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/frtdpsvg0iqdsag4u5fp",30% OFF UPTO ₹150,Paratha Junction,North Indian,Old Palasia
https://www.swiggy.com/restaurants/getaway-desserts-scheme-no-54-vijay-nagar-indore-580590,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/2e93c40100a50e4bfabce89c35154ec6",25% OFF ABOVE ₹199,GetAWay-Desserts,"Ice Cream, Desserts, Healthy Food, Sweets",Vijay Nagar
https://www.swiggy.com/restaurants/one-bite-rangwasa-rau-and-rajendra-nagar-indore-580542,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/n8kxot57clrpzfayhn0b",,One Bite,"Pizzas, Beverages",Rau & Rajendra Nagar
https://www.swiggy.com/restaurants/goila-butter-chicken-upper-ground-floor-of-property-scheme-no-54-indore-762427,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/2acf0681a049dea7dac7271cf7ccc560",₹125 OFF ABOVE ₹249,Goila Butter Chicken,"North Indian, Biryani, Kebabs, Desserts",Scheme No-54
https://www.swiggy.com/restaurants/the-chocolate-room-rd-bypass-north-indore-691421,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/5e7ce44e6d8a272a3b96453dc8053c69",20% OFF ABOVE ₹700,The Chocolate Room,"Bakery, Beverages",Bypass North
